solver,puzzle_id,status,solve_time,propagations
DPLL(T),sudoku_25x25_Easy_20241212_223635_puzzle,unsat,0.2349536418914795,190567
DPLL(T),sudoku_25x25_Easy_20241212_223654_puzzle,unsat,0.23906588554382324,190546
DPLL(T),sudoku_25x25_Difficult_20241212_225638_puzzle,unsat,15.263132333755493,190463
DPLL(T),sudoku_25x25_Difficult_20241212_225229_puzzle,sat,0.43625760078430176,190466
DPLL(T),sudoku_25x25_Difficult_20241212_225646_puzzle,unsat,0.2268669605255127,190620
DPLL(T),sudoku_25x25_Medium_20241212_224149_puzzle,sat,0.25144124031066895,190482
DPLL(T),sudoku_25x25_Easy_20241212_224100_puzzle,unsat,0.30367279052734375,190418
DPLL(T),sudoku_25x25_Medium_20241212_224809_puzzle,unsat,0.22317838668823242,190546
DPLL(T),sudoku_25x25_Evil_20241212_225823_puzzle,sat,13.950902700424194,190394
DPLL(T),sudoku_25x25_Easy_20241212_224002_puzzle,unsat,0.5269761085510254,190501
DPLL(T),sudoku_25x25_Medium_20241212_224958_puzzle,sat,0.3341941833496094,190457
DPLL(T),sudoku_25x25_Evil_20241212_230335_puzzle,sat,0.22330212593078613,190622
DPLL(T),sudoku_25x25_Difficult_20241212_225654_puzzle,unsat,0.23073124885559082,190530
DPLL(T),sudoku_25x25_Evil_20241212_225833_puzzle,unsat,0.22818827629089355,190599
DPLL(T),sudoku_25x25_Difficult_20241212_225117_puzzle,unsat,0.3286857604980469,190591
DPLL(T),sudoku_25x25_Medium_20241212_224419_puzzle,unsat,0.2532033920288086,190477
DPLL(T),sudoku_25x25_Evil_20241212_225925_puzzle,unsat,0.2266843318939209,190608
DPLL(T),sudoku_25x25_Evil_20241212_230415_puzzle,unsat,0.23781871795654297,190426
DPLL(T),sudoku_25x25_Difficult_20241212_225039_puzzle,unsat,13.101137161254883,190389
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223344_puzzle,unsat,0.21305298805236816,190579
DPLL(T),sudoku_25x25_Medium_20241212_224741_puzzle,sat,0.22667407989501953,190541
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223350_puzzle,sat,0.3846900463104248,190460
DPLL(T),sudoku_25x25_Medium_20241212_224151_puzzle,sat,0.43317508697509766,190441
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223443_puzzle,sat,0.2936398983001709,190477
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223241_puzzle,sat,0.22404074668884277,190524
DPLL(T),sudoku_25x25_Medium_20241212_224222_puzzle,unsat,0.218916654586792,190521
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223225_puzzle,sat,0.22869205474853516,190562
DPLL(T),sudoku_25x25_Medium_20241212_224344_puzzle,unsat,0.22843003273010254,190530
DPLL(T),sudoku_25x25_Medium_20241212_224727_puzzle,unsat,0.22425603866577148,190543
DPLL(T),sudoku_25x25_Evil_20241212_225931_puzzle,unsat,0.2248530387878418,190525
DPLL(T),sudoku_25x25_Easy_20241212_224036_puzzle,unsat,0.21224522590637207,190434
DPLL(T),sudoku_25x25_Easy_20241212_223714_puzzle,timeout,30,0
DPLL(T),sudoku_25x25_Medium_20241212_224143_puzzle,sat,0.22257614135742188,190517
DPLL(T),sudoku_25x25_Evil_20241212_230458_puzzle,sat,0.586500883102417,190461
DPLL(T),sudoku_25x25_Easy_20241212_223612_puzzle,unsat,0.2129969596862793,190607
DPLL(T),sudoku_25x25_Evil_20241212_225919_puzzle,unsat,0.23163080215454102,190556
DPLL(T),sudoku_25x25_Evil_20241212_225944_puzzle,unsat,0.24066495895385742,190512
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223357_puzzle,sat,1.1241073608398438,190439
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223249_puzzle,sat,0.22184348106384277,190598
DPLL(T),sudoku_25x25_Evil_20241212_230007_puzzle,sat,0.21816110610961914,190562
DPLL(T),sudoku_25x25_Easy_20241212_224012_puzzle,unsat,0.21679925918579102,190589
DPLL(T),sudoku_25x25_Medium_20241212_224202_puzzle,sat,0.27814388275146484,190465
DPLL(T),sudoku_25x25_Difficult_20241212_225626_puzzle,unsat,0.21819090843200684,190570
DPLL(T),sudoku_25x25_Difficult_20241212_225733_puzzle,unsat,0.2186107635498047,190498
DPLL(T),sudoku_25x25_Difficult_20241212_225635_puzzle,unsat,0.21550655364990234,190597
DPLL(T),sudoku_25x25_Evil_20241212_230328_puzzle,unsat,0.21603631973266602,190567
DPLL(T),sudoku_25x25_Evil_20241212_225902_puzzle,unsat,0.21557998657226562,190568
DPLL(T),sudoku_25x25_Evil_20241212_225957_puzzle,unsat,0.23015952110290527,190513
DPLL(T),sudoku_25x25_Medium_20241212_224719_puzzle,unsat,0.20968174934387207,190612
DPLL(T),sudoku_25x25_Evil_20241212_225746_puzzle,timeout,30,0
DPLL(T),sudoku_25x25_Easy_20241212_223824_puzzle,unsat,0.2091960906982422,190606
DPLL(T),sudoku_25x25_Difficult_20241212_225238_puzzle,sat,0.21508312225341797,190548
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223417_puzzle,sat,1.8565373420715332,190468
DPLL(T),sudoku_25x25_Medium_20241212_224730_puzzle,sat,0.21144866943359375,190536
DPLL(T),sudoku_25x25_Difficult_20241212_225100_puzzle,sat,0.6173222064971924,190450
DPLL(T),sudoku_25x25_Difficult_20241212_225703_puzzle,unsat,0.21220850944519043,190593
DPLL(T),sudoku_25x25_Difficult_20241212_225045_puzzle,unsat,0.4040210247039795,190473
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223346_puzzle,sat,2.6147797107696533,190467
DPLL(T),sudoku_25x25_Medium_20241212_224411_puzzle,sat,0.37792468070983887,190452
DPLL(T),sudoku_25x25_Difficult_20241212_225159_puzzle,unsat,26.354636192321777,190410
